ISO	Language	Level	Category	CategoryEN	Region1Code	Region2Code	Region3Code	Region4Code	Region	Latitude	Longitude	Elevation	ISO2	FIPS	NUTS	HASC	STAT
CF	FR	1	Préfecture	Prefecture	07				Lobaye	4.10856	17.70720	461	CF-LB	CT07		CF.LB	
CF	FR	1	Préfecture	Prefecture	08				Mambéré-Kadéï	4.53005	16.04027	571	CF-HS	CT04		CF.HS	
CF	FR	1	Préfecture	Prefecture	09				Mbomou	4.76976	22.90005	506	CF-MB	CT08		CF.MB	
CF	FR	1	Préfecture	Prefecture	10				Nana-Grebizi	6.88021	19.43073	428	CF-HS	CT15		CF.KB	
CF	FR	1	Préfecture	Prefecture	11				Nana-Mambéré	5.72431	15.39749	971	CF-NM	CT09		CF.NM	
CF	FR	1	Préfecture	Prefecture	12				Ombella-Mpoko	4.90245	18.12066	375	CF-MP	CT17		CF.MP	
CF	FR	1	Préfecture	Prefecture	13				Ouaka	5.72907	20.72359	432	CF-UK	CT11		CF.UK	
CF	FR	1	Préfecture	Prefecture	14				Ouham	6.89834	17.68741	438	CF-AC	CT12		CF.AC	
CF	FR	1	Préfecture	Prefecture	15				Ouham Péndé	6.77085	16.02937	771	CF-OP	CT13		CF.OP	
CF	FR	1	Préfecture	Prefecture	16				Sangha-Mbaéré	3.55838	16.48956	388	CF-SE	CT16		CF.SE	
CF	FR	1	Préfecture	Prefecture	17				Vakaga	9.77807	22.41902	443	CF-VK	CT14		CF.VK	
CG	FR	1	Département	Department	01				Bouenza	-4.19525	13.59674	347	CG-11	CF01		CG.BO	01
CG	FR	1	Département	Department	04				Kouilou	-4.19521	11.92487	80	CG-5	CF04		CG.KL	04
CG	FR	1	Département	Department	05				Lékoumou	-3.07792	13.52642	447	CG-2	CF05		CG.LE	05
CG	FR	1	Département	Department	06				Likouala	1.88632	17.42750	353	CG-7	CF06		CG.LI	06
CG	FR	1	Département	Department	07				Niari	-3.46857	12.43266	338	CG-9	CF07		CG.NI	07
CG	FR	1	Département	Department	08				Plateaux	-2.07810	15.39396	446	CG-14	CF08		CG.PL	08
CG	FR	1	Département	Department	10				Sangha	1.32248	15.48481	514	CG-13	CF10		CG.SA	10
CG	FR	1	Département	Department	11				Pool	-3.71660	14.69792	436	CG-12	CF11		CG.PO	11
CG	FR	1	Département	Department	12				Brazzaville	-4.25524	15.26156	284	CG-BZV	CF12		CG.BR	12
CG	FR	1	Département	Department	13				Cuvette	-0.56518	15.99395	439	CG-8	CF13		CG.CU	13
CG	FR	1	Département	Department	14				Cuvette-Ouest	0.05867	14.65293	481	CG-15	CF14		CG.CO	14
CG	FR	1	Département	Department	15				Pointe-Noire	-4.79145	11.86629	14	CG-16	CF15		CG.PN	15
CH	DE	1	Kanton	State	01				Aargau	47.40743	8.16931	396	CH-AG	SZ01		CH.AG	19
CH	DE	1	Kanton	State	02				Appenzell Innerrhoden	47.34134	9.43058	783	CH-AI	SZ10		CH.AI	16
CH	DE	1	Kanton	State	03				Appenzell Ausserrhoden	47.39804	9.42141	805	CH-AR	SZ02		CH.AR	15
AM	EN	1	Province	Province	03				Armavir	40.12008	44.16012	862	AM-AV	AM03		AM.AV	
AM	EN	1	City	City	04				Yerevan	40.16528	44.51680	995	AM-ER	AM11		AM.ER	
AM	EN	1	Province	Province	05				Gegharkunik	40.31762	45.38934	2044	AM-GR	AM04		AM.GR	
AM	EN	1	Province	Province	06				Kotayk	40.35933	44.63687	1464	AM-KT	AM05		AM.KT	
AM	EN	1	Province	Province	07				Lori	40.98504	44.43623	1307	AM-LO	AM06		AM.LO	
AM	EN	1	Province	Province	08				Shirak	40.78124	43.88181	1649	AM-SH	AM07		AM.SH	
AM	EN	1	Province	Province	09				Syunik	39.29699	46.26175	1360	AM-SU	AM08		AM.SU	
AM	EN	1	Province	Province	10				Tavush	40.94919	45.15026	773	AM-TV	AM09		AM.TV	
